id_registro,especie,nombre_comun,clase,orden,familia,departamento,municipio,localidad,ecosistema,latitud,longitud,fecha,num_individuos,longitud_svl_mm,peso_g,sexo,estado_uicn,endemica_colombia,metodo_captura,observaciones
1,Iguana iguana,Iguana verde,Reptilia,Squamata,Iguanidae,Atlántico,Barranquilla,Isla Salamanca,Manglar,10.9843,-74.8312,2023-03-12,3,312,245,M,LC,No,Captura manual,Adulto reproductivo
2,Iguana iguana,Iguana verde,Reptilia,Squamata,Iguanidae,Atlántico,Barranquilla,Isla Salamanca,Manglar,10.9843,-74.8312,2023-03-12,5,275,198,F,LC,No,Captura manual,Hembras con signos de gravidez
3,Caiman crocodilus,Babilla,Reptilia,Crocodylia,Alligatoridae,Atlántico,Malambo,Ciénaga del Uvero,Ciénaga,10.8521,-74.7834,2023-04-05,1,1450,3200,M,LC,No,Avistamiento,Individuo adulto en orilla
4,Boa constrictor,Boa,Reptilia,Squamata,Boidae,Magdalena,Ciénaga,Ciénaga Grande,Manglar,10.9012,-74.2341,2023-02-18,1,1820,4100,F,LC,No,Captura manual,Hembra adulta con cicatriz
5,Boa constrictor,Boa,Reptilia,Squamata,Boidae,Magdalena,Pueblo Viejo,Tasajera,Bosque seco,10.9234,-74.2567,2023-05-22,1,1240,2350,M,LC,No,Trampa herpetológica,NA
6,Basiliscus basiliscus,Basilisco,Reptilia,Squamata,Corytophanidae,Atlántico,Baranoa,Pital,Bosque seco,10.7923,-74.9234,2023-03-30,2,187,78,M,LC,No,Captura manual,Machos con cresta desarrollada
7,Basiliscus basiliscus,Basilisco,Reptilia,Squamata,Corytophanidae,Atlántico,Baranoa,Pital,Bosque seco,10.7923,-74.9234,2023-03-30,4,134,42,F,LC,No,Captura manual,Hembras sin cresta
8,Anolis auratus,Camaleón dorado,Reptilia,Squamata,Dactyloidae,Atlántico,Soledad,Polideportivo sur,Área urbana,10.9187,-74.7654,2023-06-14,6,72,8,M,LC,No,Captura manual,NA
9,Anolis auratus,Camaleón dorado,Reptilia,Squamata,Dactyloidae,Atlántico,Barranquilla,Parque Bellavista,Área urbana,10.9521,-74.8143,2023-06-14,9,58,5,F,LC,No,Captura manual,NA
10,Tupinambis teguixin,Mato,Reptilia,Squamata,Teiidae,Magdalena,Ciénaga,Ciénaga Grande,Bosque seco,10.8932,-74.2789,2023-01-25,2,645,1450,M,LC,No,Trampa herpetológica,Individuos capturados en trampa de caída
11,Tupinambis teguixin,Mato,Reptilia,Squamata,Teiidae,Magdalena,Fundación,Vereda Palmor,Bosque seco,10.5234,-74.1823,2023-02-08,1,598,1230,F,LC,No,Captura manual,NA
12,Rhinella marina,Sapo marino,Amphibia,Anura,Bufonidae,Atlántico,Barranquilla,Barrio El Recreo,Área urbana,10.9643,-74.8021,2023-07-03,12,112,234,NA,LC,No,Conteo nocturno,Activos en época de lluvias
13,Rhinella marina,Sapo marino,Amphibia,Anura,Bufonidae,Atlántico,Galapa,Periurbano Galapa,Área urbana,10.8934,-74.8712,2023-07-10,8,98,187,NA,LC,No,Conteo nocturno,NA
14,Leptodactylus fragilis,Rana frágil,Amphibia,Anura,Leptodactylidae,Atlántico,Luruaco,Laguna de Luruaco,Humedal,10.6123,-75.1423,2023-08-14,23,42,12,NA,LC,No,Conteo nocturno,Coro nupcial activo
15,Leptodactylus fragilis,Rana frágil,Amphibia,Anura,Leptodactylidae,Atlántico,Repelón,Embalse El Guájaro,Humedal,10.4987,-74.9312,2023-08-20,17,38,9,NA,LC,No,Conteo nocturno,NA
16,Leptodactylus colombiensis,Rana de Colombia,Amphibia,Anura,Leptodactylidae,Córdoba,Montería,Sinú bajo,Humedal,8.7612,-75.8923,2023-09-02,31,56,18,NA,LC,Si,Conteo nocturno,Especie endémica del norte de Colombia
